source_hackathon,month,project_tech,tPrimary,tRuby,TJava,TC#,TPython,TPhp,TJavascript,project_type,project_category,project_views,project_longd,project_name,comment_2,comment_1,project_description
Angelhack-Manhattan,7, bootstrap. node.js. RDBMS. Cloud.,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,21,"Our service is designed to match the emergency needs of NGO for volunteers with the short-term availability of volunteers. Both volunteers and NGOs must register on our site and fill in their profiles to take advantage of our service. The NGO announces its need for volunteers to say staff an event on a specific day and specifies what skills it needs from these volunteers. Prospective, available volunteers do a one-click registration on the site calendar. NGO reviews profiles of available volunteers and invites those volunteers it wants to show up.",Volunteer Match,"Great idea and model, but need to see more of the execution during the pitch.",You explained the product well and thought you handled the monetization question well. Don't understand if this is a big pain point for people or not.,Match volunteers' availability with short-term NGO need
Angelhack-Manhattan,7, Myo IBM WATSON Python Flask twitter api bluemix,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Web App,Consumer,16,"We supported Myo commands of specific sequences greater than 1, i.e, {Wave in, Wave Out} will cause a command. We use the Myo to start an application which records a voice clip, converts it to text, and sends a tweet.",Knesc,Definitely understood the idea and saw the novelty but even you admitted that it seemed like a harder way to access connected devices. If you were convicted that it was a good solution don't waver in that belief. Thought it had potential but demo was too difficult for something that is already really simple (sending a tweet),"This has a lot of potential, I would like to see a demo that is working with a door or some smart home accessory.",Push functionality for Myo with sequence support
Angelhack-Manhattan,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Consumer,27,,MyoDrums,"Alright that was fun, good presentation. Would be great to see it applied to a more mature, social music app.","Very fun demo, and very well executed. Unsure of what the ultimate product would be. Would have been interested to understand long term vision of where it could go upfront.",Play the drums with a myoband and your phone over the internet!
Angelhack-Manhattan,7, node.js javascirpt,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,25,The purpose of the app is to help people acknowledge the number of times they use crutch words unconsciously. The app provides the user with a report of the number of times the crutch words are used in the sentence and also provides historical data on the usage of crutch words by the individual.,Crutch words catcher,"Really great concept, I think would like to see a crowd based concept for finding crutch words.","Interesting product see potential on other use cases besides ""crutch words"" I think the bigger problem is public speaking as a whole, that market is huge and people are all seeking to get better.",catches crutch words
Angelhack-Manhattan,7, Python Swift HTTP POST/GET Blockchain Python Flask iOS Web Security biohacking,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,IOS,Consumer,108,"We built a system to allow for secure legal transactions over traditional document sharing platforms, such as Google Docs. To do this, we tackled two problems: user verification and disabling nefarious users. We verify the user via a thumbprint scan from their iPhone. We then limit untrustworthy users by storing sql databases locally on each user's computer while also storing a master sql database online. In order to guarantee transactions, multiple databases are referenced forming a blockchain.",Notary,Great demo. A really useful app that could replace some clunky incumbents.,Very good product. Demo worked as promised and think you are focused on an antiquated process. Would like to see what you cold make given more time!,Blockchain Contracts with Biometric Identification
Angelhack-Manhattan,7, No stack info.,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Medical,32,It's an awesome app for fitness.,Body App,"Like the idea, the market is extremely saturated however making it a hard fight for the supply of trainer talent.",Really great interface and idea. I won't want to work out with people I would just go to the gym. The reason why I would buy the dvd is to make working out private,Uber for Fitness
Angelhack-Manhattan,7, Firebase Github Node facebook api twitter api Bootstrap Cluster point IBM sublimetext Express,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,76,RAK360 is a location based platform that will enable users who want to perform acts of kindness to connect with community members in need of assistance. Users in need can log on to RAK360 using their existing Facebook or Twitter accounts and send a flare for the specific services they need. The flare will be displayed on a map for any user to view and respond.,RAK360,"Think about the actual product you would bring to market, think you've built something of value but need to work on how you would turn it into a business if you actually want to scale.","I really love the idea , I would like to see the business model behind it.",Make a difference in the world today by helping someone
Angelhack-Manhattan,7, Meteor.js Semantic-UI,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,39,"Ibis is a note taking program created for scientists, it generates equations and diagrams, supports data-sets, and allows you to link them to your notes.",Ibis,"I understand the problem, but don't think it's something that requires an entirely new product. Also didn't get a great view of the product, would have spent more time on the demo.","Good intro. Tough with the technology problems/projector...I think the concept has potential. It seems like a fairly large undertaking. Would have liked to see ONE thing working very well. For a 24 hour period, the project/demo/deliverables seemed incomplete.",Scientific note taking software
Angelhack-Manhattan,7, node.js Amazon AWS Swift Cluster point,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IOS,Professional Services,40,"Huddle is an ios app that allows for easy access, storage, and distribution of business cards through the use of qr codes.",Huddle App,"Intro was too long. Some minor teamwork communication issues.. this is potentially a HUGE undertaking. Difficulty to show much during a 24 hour dev phase / 2 min demo. Others have tried to do this, why would you succeed instead? What is your motivation for doing this.","Solid demo, real problem. Try to think about how to actually transform how people share contacts. You basically took business cards and digitized them...so really the only pain point you solved was data entry and not having to carry around paper. I would encourage you to think about what contact sharing would look like now that we all have mobile phones.",Store and swap business cards virtually
Angelhack-Manhattan,7, JavaScript node.js Amazon AWS jQuery Angular twitter api MapBox AWS Elastic Beanstalk,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,50,,HYPEmap,"I would like to see more sources to pull from as the project evolves, and demographic information at the locations.","Really like the product, clear business opportunities.",Find the hype
Angelhack-Manhattan,7, PHP Swift Linux Arduino Development DynamoDB Amazon RDS,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Hardware,Consumer,26,"Using an Intel Edison board to act as a pseudo bracelet, that would hold token information from an iPhone app. We created an iPhone app with a mySQL RDS backend, that would allow users to create a list of their credit cards. This app would also send the information of the credit card that the user would like to use at that time.",NFC Bracelet,"Didn't really articulate the problem that it's solving. Interesting problem and future implications, talk about it in terms of what else is. Happening similar to the mta transition.","Interesting demo, don't know if it solves the issue of having to carry around your wallet",NFC bracelet to replace a Wallet
Angelhack-Manhattan,7, Swift yelp api bluemix Branch.io HP Idol-on-demand Java EE twitter fabric MoPub,Java,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,IOS,Consumer,45,"Food tours are on the rise! Nourritour allows tourists to discover hidden treasures and find where locals create their special night out. Simply from the convenience of your mobile device and without the need of an expensive tour guide, NourriTour will select the best restaurants ranging from gastropubs to dive bars. Suited for your needs and price range, NourriTour will sate that spontaneous sweet tooth or satisfy all of your savory indulgences. Don't miss out! Begin your journey and personalize and design your next food tour with NourriTour!",NourriTour,Engaging pitch!,"Good idea, well executed in time. Focus on explaining more of the curation aspect, didn't understand how you are picking locations until the very end, that's a critical component of what you're building.",Food tours curated specifically for you!
Angelhack-Manhattan,7, node.js iOS MapBox Cluster point twitter fabric,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IOS,Consumer,65,"Bitter is a mobile application that allows users to share and explore the world around them one bit a time. Users can up-vote or down-vote the world around them at any point! They can take a picture and share cool discoveries, rad food carts, or even hidden gems of the city. Bitter aims to shorten and broaden the impact of the geo-social-mobile landscape by keeping it short, simple, and very visual. So what will you find?",Bitter,"Interesting product, could see it evolving. Would like to better understand how you would make money and how you're going to manage quality of votes.",Very hard to see how how you will make money.,Uncovering the world one bit at a time.
Angelhack-Manhattan,7, Express.js nodejs Cluster point,Javascript,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,16,"Upload a file to horcrux, which will split it for you and upload it to different cloud storage spaces, effectively multiplying your free storage conveniently.",Horcrux,,,Leverage free cloud storage space
Angelhack-Manhattan,7, Amazon AWS twitter api Bootstrap MapBox Python/Django MapBox GL,Python,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Web App,Consumer,35,MiniMap is a new type of map designed from ground up with mobile first in mind.,MiniMap,"Engaging presentation, develop the business model and saas model.",I think I saw this same idea and name at another hackaton.,What's next around you at a glance.
Angelhack-Manhattan,7, Ruby on Rails Amazon AWS Socket.io jQuery nodejs C#.NET WebRTC Bootstrap,Ruby,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,IOS,Consumer,60,"We provide cheap, interactive musical experiences for those underprivileged or unable to otherwise obtain an education in piano and other keyboard instruments. Using a fast, web-based video chat service as well as a pay-per-minute business plan, we allow for flexibility in both tutors and students looking to learn more about music. Our services area available both on the web and on mobile, so students and tutors can access what they need when they need it. From on-demand audio, visual, and interactive MIDI keyboard services, students have access to the full range of musical privileges that they would never otherwise obtain without Piano++. Check us out: https://github.com/smorsi/PianoPlusPlusSharp",Piano++,"Really liked the idea, like the interface. Think there is opportunity to make a lot of features more native to piano tutoring. Good job.",Excellent,"Live, interactive, realtime musical experiences"
Angelhack-Manhattan,7, JavaScript Ruby on Rails Adobe Photoshop Adobe Illustrator HTML5 CSS3 Sketch InVision,Ruby,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Web App,Consumer,34,"New roommates want to fully stock their new apartment with dishes, appliances, and furniture, but it's tough to know who has the best couch, who has a full set of nice dishes, and who just has a nice smile. Enter MiMo, a service that allows new roommates to quickly and easily list what they already have. 1.) Using this information, MiMo compiles a shopping cart of necessary items. In one easy step, the group can buy all the necessities for a new apartment based on their stated budget. MiMo will be delay sending the order if necessary so that the items can be delivered to the new apartment on a specified day. 2.) Upon moving out, roommates can use MiMo to bid on household items that they want to take with them. MiMo will use each roommate's preferences to draw up a sheet of who pays what to whom, and who gets the nice couch. Full Clickable Prototype: http://invis.io/3Z3JDO9Q2",Move in Move out (MiMo),"Actually think the idea is very solid, clear monetization. Would have like to see how the ecommerce part of the demo functioned.","I want to address my team's demo. Please keep in mind (I'm looking at you, Mr. Jason Wisdom), I am on 1hr and half sleep the last two days. Not to be used as an excuse but it should be put out there. I'll go ahead and say it. I'm NOT a coder. I'm a designer. However, I DID have a full click enabled prototype ready for the team to present. My fellow teammates had no desire to show it even though it looked more finished than their actual coding. http://invis.io/3Z3JDO9Q2 is the link that was supposed to be shown and I would have been happy to have presented. I've presented ad campaigns before so this seemed no different to me. But because this was another team member's idea and he felt it necessary to make changes up until literally the last minute : he delivered an entire different ""scenario"" than the one I was told. Also Amazon was the original API that was going to be used. Where craigslist came from who knows. I certainly wasn't in the loop. And frankly neither was the guy working on the API stuff as far as the design process goes. This is where the entire disconnection comes into play concerning the demo. If I sound frustrated, I certainly am. I am happy to have furthered my knowledge in UX design, Sketch 3 and InVisionApp and I love the design I did before it was butchered but I will never do a code based hackathon again after this experience.",Manage furniture between roommates when moving
Angelhack-Manhattan,7, node.js Angular.js HTML5 Python Flask bluemix Cluster point,Javascript,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Web App,Consumer,38,"There exist dozens upon dozens of event-planning companies that make event planning incredibly easy. Facebook and eventbrite events are great for big events like birthdays, anniversaries, even weddings. But, what about those 'low-key' events that don't need such rigorous event planning? What about food? I'm hungry, and I don't want to go alone; but I also don't want to message everyone. What about basketball at 7? There are tons of events that are too small to make a big deal about; these are exactly the activities that can be reached through this application. This application would be able to be added onto existing networks, like contact lists, or facebook friends, or twitter feeds (or really anything). You would be able to compile groups of friends (circles), and post these lowkey events to them. For example, with the food aspect of this application, you can submit your position, or where you're going to be, and your general hunger level. And people would be able to basically add on to it, and check off if they want to come. The post would remain up for a while, but would go down after a few hours (or as soon as the event happened). Anyone can join!",Lowkey,Good handling of Q&A. In spite of tech issues- applaud you for taking a risk and trying something new,"Kind of a neat concept. The demo showing looks very basic...not sure what it is supposed to do. Also, 1 minute to create a FB group is not a lot of time. Why would I learn an entire new platform just to save 50 seconds?",Low-key events organization (i.e. food and sports)
